name,num_voxels,num_occupied_voxels,bitrate,point_to_point_D1
CITIUSP_vox10_nor_i00j01k00,2097152,2105,1.7634204275534442,0.332541567695962
CITIUSP_vox10_nor_i00j02k00,2097152,1887,2.4970853206147323,0.726789621756799
CITIUSP_vox10_nor_i00j03k00,2097152,11332,1.0935404165195906,0.46809369951534735
CITIUSP_vox10_nor_i00j04k00,2097152,6596,1.0163735597331716,0.34751948533960164
CITIUSP_vox10_nor_i00j05k00,2097152,3574,1.4862898712926693,0.517774343122102
CITIUSP_vox10_nor_i01j00k00,2097152,1371,2.1356673960612693,0.3484848484848485
CITIUSP_vox10_nor_i01j01k00,2097152,7942,1.0949383026945354,0.296596256977126
CITIUSP_vox10_nor_i01j02k00,2097152,13730,0.9742170429715951,0.3387348083515114
CITIUSP_vox10_nor_i01j03k00,2097152,21578,0.5149689498563351,0.10180720176664113
CITIUSP_vox10_nor_i01j04k00,2097152,17494,0.476963530353264,0.1012672550350758
CITIUSP_vox10_nor_i01j05k00,2097152,13773,0.6842372758295215,0.2283453132941262
CITIUSP_vox10_nor_i01j06k00,2097152,1985,2.0272040302267,0.4967395473724588
CITIUSP_vox10_nor_i02j00k00,2097152,21603,0.9150580937832709,0.3298577820389901
CITIUSP_vox10_nor_i02j01k00,2097152,14173,0.8511959359345234,0.2203485500599732
CITIUSP_vox10_nor_i02j02k00,2097152,59273,0.6509540600273311,0.2523040225523149
CITIUSP_vox10_nor_i02j03k00,2097152,21653,0.5035791807139888,0.06737556561085972
CITIUSP_vox10_nor_i02j04k00,2097152,19821,0.4197568235709601,0.05742205208280864
CITIUSP_vox10_nor_i02j05k00,2097152,19999,0.5800290014500725,0.1804204149072884
CITIUSP_vox10_nor_i02j06k00,2097152,8968,1.4540588760035682,0.5511682813644875
CITIUSP_vox10_nor_i03j00k00,2097152,18094,0.9598762020559302,0.3673593456394385
CITIUSP_vox10_nor_i03j01k00,2097152,36692,0.7853483048075874,0.2681510956066718
CITIUSP_vox10_nor_i03j02k00,2097152,42965,0.5850343302688235,0.14874898172931456
CITIUSP_vox10_nor_i03j03k00,2097152,56435,0.5728360060246301,0.13805417646546467
CITIUSP_vox10_nor_i03j03k01,2097152,3734,0.8377075522228173,0.10417782538832351
CITIUSP_vox10_nor_i03j04k00,2097152,25613,0.5187990473587631,0.09676183176853803
CITIUSP_vox10_nor_i03j05k00,2097152,31412,0.6968037692601553,0.19868929693162599
CITIUSP_vox10_nor_i03j06k00,2097152,3847,1.74473615804523,0.4175460376577695
CITIUSP_vox10_nor_i03j07k00,2097152,4,402.0,0.25
CITIUSP_vox10_nor_i04j00k00,2097152,13710,1.0088986141502554,0.4134574947431661
CITIUSP_vox10_nor_i04j01k00,2097152,38282,0.7341309231492608,0.251849042290916
CITIUSP_vox10_nor_i04j02k00,2097152,47963,0.5904551425056814,0.13683464337093176
CITIUSP_vox10_nor_i04j02k01,2097152,14677,0.7407508346392314,0.18642938079050855
CITIUSP_vox10_nor_i04j03k00,2097152,44925,0.5616471897607123,0.13016303160103151
CITIUSP_vox10_nor_i04j03k01,2097152,4895,0.730541368743616,0.0757020757020757
