name,number_of_nucleotides,num_voxels,num_occupied_voxels,nucleotide_rate,point_to_point_D1
CITIUSP_vox10_nor_i00j05k00,5600,262144,516,10.852713178294573,nan
CITIUSP_vox10_nor_i00j06k00,5400,262144,2047,2.638006839276991,nan
CITIUSP_vox10_nor_i00j07k00,5600,262144,629,8.90302066772655,nan
CITIUSP_vox10_nor_i01j03k01,6000,262144,1843,3.2555615843733046,13.150298426478567
CITIUSP_vox10_nor_i01j05k00,5400,262144,1227,4.400977995110025,nan
CITIUSP_vox10_nor_i01j06k00,5600,262144,5263,1.0640319209576288,nan
CITIUSP_vox10_nor_i01j07k00,5400,262144,3393,1.5915119363395225,nan
CITIUSP_vox10_nor_i01j08k00,5400,262144,3305,1.6338880484114977,nan
CITIUSP_vox10_nor_i01j09k00,5400,262144,2564,2.1060842433697347,nan
CITIUSP_vox10_nor_i01j10k00,5400,262144,1987,2.7176648213387016,nan
CITIUSP_vox10_nor_i01j11k00,5400,262144,1466,3.6834924965893587,nan
CITIUSP_vox10_nor_i02j02k00,5600,262144,727,7.702888583218707,nan
CITIUSP_vox10_nor_i02j02k01,6200,262144,2665,2.326454033771107,4.79249530956848
CITIUSP_vox10_nor_i02j05k00,5600,262144,5776,0.9695290858725761,93.81751354139799
CITIUSP_vox10_nor_i02j06k00,5400,262144,4797,1.125703564727955,nan
CITIUSP_vox10_nor_i02j07k00,5400,262144,4465,1.2094064949608063,nan
CITIUSP_vox10_nor_i02j08k00,5400,262144,4071,1.3264554163596167,nan
CITIUSP_vox10_nor_i02j09k00,5400,262144,3794,1.423299947285187,nan
CITIUSP_vox10_nor_i02j10k00,5400,262144,3054,1.768172888015717,nan
CITIUSP_vox10_nor_i02j11k00,5400,262144,2722,1.9838354151359294,nan
CITIUSP_vox10_nor_i02j12k00,5600,262144,660,8.484848484848484,nan
CITIUSP_vox10_nor_i03j01k00,5800,262144,1149,5.047867711053089,30.075718015665796
CITIUSP_vox10_nor_i03j02k00,5600,262144,1636,3.4229828850855744,430.99462400414535
CITIUSP_vox10_nor_i03j02k01,6400,262144,2897,2.2091819123230927,2.1118398343113567
CITIUSP_vox10_nor_i03j04k00,5600,262144,1053,5.318138651471985,nan
CITIUSP_vox10_nor_i03j05k00,5600,262144,6567,0.8527485914420588,133.50594053434654
CITIUSP_vox10_nor_i03j06k00,5400,262144,6189,0.872515753756665,nan
CITIUSP_vox10_nor_i03j07k00,5400,262144,6127,0.8813448669822099,nan
CITIUSP_vox10_nor_i03j08k00,5400,262144,5175,1.0434782608695652,nan
CITIUSP_vox10_nor_i03j09k00,5400,262144,4454,1.21239335428828,nan
CITIUSP_vox10_nor_i03j10k00,5400,262144,4184,1.2906309751434035,nan
CITIUSP_vox10_nor_i03j11k00,5400,262144,3813,1.4162077104642015,nan
CITIUSP_vox10_nor_i03j12k00,5600,262144,1255,4.46215139442231,nan
CITIUSP_vox10_nor_i04j01k00,6000,262144,6157,0.974500568458665,79.49727965179542
CITIUSP_vox10_nor_i04j01k01,6400,262144,3083,2.075900097307817,3.023322363714408
CITIUSP_vox10_nor_i04j02k00,5400,262144,5115,1.0557184750733137,nan
CITIUSP_vox10_nor_i04j03k01,5600,262144,769,7.282184655396619,nan
CITIUSP_vox10_nor_i04j04k00,5400,262144,2521,2.1420071400238,nan
CITIUSP_vox10_nor_i04j04k01,5400,262144,5878,0.9186798230690711,nan
CITIUSP_vox10_nor_i04j05k00,5600,262144,8377,0.6684970753252955,nan
CITIUSP_vox10_nor_i04j05k01,5800,262144,6930,0.836940836940837,61.20966810966811
CITIUSP_vox10_nor_i04j06k00,5400,262144,5471,0.9870224821787608,nan
CITIUSP_vox10_nor_i04j07k00,5400,262144,4965,1.0876132930513596,nan
CITIUSP_vox10_nor_i04j08k00,5400,262144,5456,0.9897360703812317,nan
CITIUSP_vox10_nor_i04j09k00,5400,262144,4842,1.1152416356877324,nan
CITIUSP_vox10_nor_i04j10k00,5400,262144,4646,1.162290142057684,nan
CITIUSP_vox10_nor_i04j11k00,5400,262144,4564,1.1831726555652935,nan
CITIUSP_vox10_nor_i04j12k00,5800,262144,2587,2.2419791264012368,39.08194820255122
CITIUSP_vox10_nor_i04j12k01,5600,262144,537,10.42830540037244,nan
CITIUSP_vox10_nor_i05j00k00,5800,262144,1071,5.415499533146592,26.797385620915033
CITIUSP_vox10_nor_i05j01k00,5800,262144,7349,0.7892230235406178,623.7784732616683
CITIUSP_vox10_nor_i05j01k01,5800,262144,3557,1.6305875737981446,93.04723081248243
CITIUSP_vox10_nor_i05j02k00,5400,262144,4920,1.0975609756097562,nan
CITIUSP_vox10_nor_i05j03k00,5400,262144,2144,2.5186567164179103,nan
CITIUSP_vox10_nor_i05j03k01,5600,262144,1099,5.095541401273885,nan
CITIUSP_vox10_nor_i05j04k00,5600,262144,7625,0.7344262295081967,132.56747540983608
CITIUSP_vox10_nor_i05j04k01,5800,262144,12571,0.461379365205632,122.61968021637101
CITIUSP_vox10_nor_i05j05k00,6400,262144,12509,0.5116316252298345,39.98053882725832
CITIUSP_vox10_nor_i05j05k01,5800,262144,2862,2.026554856743536,51.3591893780573
CITIUSP_vox10_nor_i05j06k00,5400,262144,6480,0.8333333333333334,nan
CITIUSP_vox10_nor_i05j07k00,5400,262144,4737,1.1399620012666245,nan
CITIUSP_vox10_nor_i05j08k00,5400,262144,4863,1.1104256631708822,nan
CITIUSP_vox10_nor_i05j09k00,5400,262144,4660,1.1587982832618027,nan
CITIUSP_vox10_nor_i05j10k00,5400,262144,5516,0.9789702683103698,nan
CITIUSP_vox10_nor_i05j11k00,5600,262144,5271,1.0624169986719787,2174.191235059761
CITIUSP_vox10_nor_i05j12k00,6200,262144,4440,1.3963963963963963,21.829848644843366
CITIUSP_vox10_nor_i05j12k01,5600,262144,1155,4.848484848484849,nan
CITIUSP_vox10_nor_i06j00k00,5600,262144,548,10.218978102189782,200.7761316872428
CITIUSP_vox10_nor_i06j00k01,5800,262144,1381,4.1998551774076756,33.6908037653874
CITIUSP_vox10_nor_i06j01k00,5600,262144,5150,1.087378640776699,148.41658943466172
CITIUSP_vox10_nor_i06j01k01,5600,262144,2199,2.546612096407458,nan
CITIUSP_vox10_nor_i06j02k00,5600,262144,1325,4.226415094339623,nan
CITIUSP_vox10_nor_i06j02k01,5600,262144,587,9.540034071550256,nan
CITIUSP_vox10_nor_i06j03k00,5600,262144,4790,1.1691022964509394,184.9759916492693
CITIUSP_vox10_nor_i06j03k01,5400,262144,8565,0.6304728546409807,nan
CITIUSP_vox10_nor_i06j04k00,5600,262144,6669,0.8397061028639976,108.87823100839947
CITIUSP_vox10_nor_i06j04k01,5600,262144,7451,0.7515769695342907,264.88149241712523
CITIUSP_vox10_nor_i06j05k00,5400,262144,5524,0.9775524981897176,nan
CITIUSP_vox10_nor_i06j06k00,6600,262144,9987,0.6608591168519075,43.18474016221087
CITIUSP_vox10_nor_i06j06k01,6800,262144,7560,0.8994708994708994,4.567195767195767
CITIUSP_vox10_nor_i06j07k00,6000,262144,9933,0.6040471156750227,77.8772777609987
CITIUSP_vox10_nor_i06j08k00,5600,262144,7110,0.7876230661040787,146.18790436005625
CITIUSP_vox10_nor_i06j09k00,5400,262144,4735,1.1404435058078142,nan
CITIUSP_vox10_nor_i06j10k00,5400,262144,6241,0.8652459541740106,410.80431177446104
CITIUSP_vox10_nor_i06j11k00,6200,262144,7122,0.8705419825891604,67.91322662173546
CITIUSP_vox10_nor_i06j11k01,5800,262144,1398,4.148783977110157,63.14377682403433
CITIUSP_vox10_nor_i06j12k01,5600,262144,956,5.857740585774058,99.07095046854083
CITIUSP_vox10_nor_i07j01k00,5600,262144,2307,2.4273948851322062,50.6861725184222
CITIUSP_vox10_nor_i07j01k01,6200,262144,6509,0.9525272699339377,15.406821324320171
CITIUSP_vox10_nor_i07j02k00,5800,262144,5211,1.11303012857417,517.5004797543658
CITIUSP_vox10_nor_i07j02k01,5600,262144,720,7.777777777777778,442.140625
CITIUSP_vox10_nor_i07j03k00,5800,262144,9138,0.6347121908513897,68.16393083825783
CITIUSP_vox10_nor_i07j03k01,5600,262144,6356,0.8810572687224669,212.70596505322354
CITIUSP_vox10_nor_i07j04k00,5600,262144,5563,1.0066510875426928,242.5866171631086
CITIUSP_vox10_nor_i07j04k01,5800,262144,1172,4.948805460750854,15.025597269624573
CITIUSP_vox10_nor_i07j05k00,6400,262144,9068,0.7057785619761799,66.39788266431407
CITIUSP_vox10_nor_i07j05k01,6800,262144,7518,0.9044958765629156,13.67198723064645
CITIUSP_vox10_nor_i07j06k00,5800,262144,804,7.213930348258707,6.573099415204679
