name,num_voxels,num_occupied_voxels,bitrate,point_to_point_D1
CITIUSP_vox10_nor_i00j01k00,2097152,2105,2.3068883610451305,0.27315914489311166
CITIUSP_vox10_nor_i00j02k00,2097152,1887,3.2813990461049283,0.6678820019887305
CITIUSP_vox10_nor_i00j03k00,2097152,11332,1.5234733498058595,0.411842569714084
CITIUSP_vox10_nor_i00j04k00,2097152,6596,1.3292904790782292,0.3091844813935075
CITIUSP_vox10_nor_i00j05k00,2097152,3574,1.8377168438724119,0.452354874041621
CITIUSP_vox10_nor_i01j00k00,2097152,1371,2.5207877461706785,0.34328358208955223
CITIUSP_vox10_nor_i01j01k00,2097152,7942,1.4525308486527324,0.2527696133845806
CITIUSP_vox10_nor_i01j02k00,2097152,13730,1.295265841223598,0.3021849963583394
CITIUSP_vox10_nor_i01j03k00,2097152,21578,0.6454722402446936,0.08725046822895254
CITIUSP_vox10_nor_i01j04k00,2097152,17494,0.6008917343089059,0.09264505893019039
CITIUSP_vox10_nor_i01j05k00,2097152,13773,0.8805634211863792,0.19741523270166267
CITIUSP_vox10_nor_i01j06k00,2097152,1985,2.647858942065491,0.44222776392352453
CITIUSP_vox10_nor_i02j00k00,2097152,21603,1.211313243530991,0.28310882747766514
CITIUSP_vox10_nor_i02j01k00,2097152,14173,1.109715656530022,0.19206498388829216
CITIUSP_vox10_nor_i02j02k00,2097152,59273,0.8488181802844466,0.23164406673748672
CITIUSP_vox10_nor_i02j03k00,2097152,21653,0.6380640096060592,0.054349316633907754
CITIUSP_vox10_nor_i02j04k00,2097152,19821,0.559003077544019,0.049089349679632716
CITIUSP_vox10_nor_i02j05k00,2097152,19999,0.8008400420021001,0.14180709035451772
CITIUSP_vox10_nor_i02j06k00,2097152,8968,1.9322033898305084,0.47584891955692754
CITIUSP_vox10_nor_i03j00k00,2097152,18094,1.248148557532884,0.3310489665082348
CITIUSP_vox10_nor_i03j01k00,2097152,36692,1.0164613539736183,0.2386683738796415
CITIUSP_vox10_nor_i03j02k00,2097152,42965,0.7513092051669964,0.12826802952867689
CITIUSP_vox10_nor_i03j03k00,2097152,56435,0.7437937450163905,0.120526943586865
CITIUSP_vox10_nor_i03j03k01,2097152,3734,0.9812533476164971,0.0965097831835008
CITIUSP_vox10_nor_i03j04k00,2097152,25613,0.6784054972084488,0.0817383907512663
CITIUSP_vox10_nor_i03j05k00,2097152,31412,0.9336559276709537,0.17903890437522724
CITIUSP_vox10_nor_i03j06k00,2097152,3847,2.272939953210294,0.35901420959147423
CITIUSP_vox10_nor_i03j07k00,2097152,4,448.0,0.2
CITIUSP_vox10_nor_i04j00k00,2097152,13710,1.3298322392414297,0.3664478482859227
CITIUSP_vox10_nor_i04j01k00,2097152,38282,0.9535551956533096,0.2285221308921853
CITIUSP_vox10_nor_i04j02k00,2097152,47963,0.7697600233513333,0.12031327084361125
CITIUSP_vox10_nor_i04j02k01,2097152,14677,0.903181849151734,0.1733954107083472
CITIUSP_vox10_nor_i04j03k00,2097152,44925,0.7455982192543127,0.11169727323316639
CITIUSP_vox10_nor_i04j03k01,2097152,4895,0.8482124616956077,0.0710929519918284
CITIUSP_vox10_nor_i04j04k00,2097152,34281,0.7794405064029637,0.09957767115810039
CITIUSP_vox10_nor_i04j05k00,2097152,35969,1.125191136812255,0.20831918062341598
CITIUSP_vox10_nor_i04j06k00,2097152,4040,2.097029702970297,0.32772277227722774
CITIUSP_vox10_nor_i05j00k00,2097152,7956,2.16289592760181,0.6000502765208647
CITIUSP_vox10_nor_i05j01k00,2097152,36942,0.8649233934275351,0.21359027392422944
CITIUSP_vox10_nor_i05j02k00,2097152,27671,0.7733728452170142,0.11584826952310248
CITIUSP_vox10_nor_i05j03k00,2097152,39441,0.8634669506351259,0.1734433170304402
CITIUSP_vox10_nor_i05j04k00,2097152,52046,0.9145755677669754,0.23289013564923336
CITIUSP_vox10_nor_i05j05k00,2097152,3601,2.3104693140794224,0.33596570397111913
CITIUSP_vox10_nor_i06j00k00,2097152,1906,3.4249737670514167,0.5900037579857197
CITIUSP_vox10_nor_i06j01k00,2097152,9581,1.601502974637303,0.4118971339509914
CITIUSP_vox10_nor_i06j02k00,2097152,21111,1.1459428733835442,0.24859078205674767
CITIUSP_vox10_nor_i06j03k00,2097152,31501,1.1192025649979365,0.287275919685084
CITIUSP_vox10_nor_i06j04k00,2097152,13072,1.2276621787025703,0.2731028151774786
CITIUSP_vox10_nor_i06j05k00,2097152,133,15.338345864661655,0.3383458646616541
CITIUSP_vox10_nor_i07j00k00,2097152,7,274.2857142857143,0.9375
CITIUSP_vox10_nor_i07j01k00,2097152,4,450.0,1.6250000000000002
CITIUSP_vox10_nor_i07j02k00,2097152,6426,1.806411453470277,0.41597420315019223
CITIUSP_vox10_nor_i07j03k00,2097152,9966,1.6624523379490266,0.392679009214642
CITIUSP_vox10_nor_i07j04k00,2097152,827,4.18863361547763,0.4262295081967213
CITIUSP_vox10_nor_i07j05k00,2097152,1399,2.6876340243030734,0.38485412787088763
fruits_vox10_nor_i00j01k01,2097152,1182,2.6531302876480543,0.4566176470588235
fruits_vox10_nor_i00j01k02,2097152,5749,1.5181770742737868,0.49475597818486927
fruits_vox10_nor_i00j01k03,2097152,5234,1.623232709209018,0.49049429657794674
fruits_vox10_nor_i00j01k04,2097152,6475,1.4294980694980695,0.4576050091312288
fruits_vox10_nor_i00j01k05,2097152,111,17.225225225225227,0.5510204081632653
fruits_vox10_nor_i00j02k01,2097152,10188,1.3011385944248135,0.46089456328739326
fruits_vox10_nor_i00j02k02,2097152,19415,1.225444244141128,0.46901526146809164
fruits_vox10_nor_i00j02k03,2097152,17956,1.18957451548229,0.47404767208732457
fruits_vox10_nor_i00j02k04,2097152,18846,1.1643850153878808,0.46493308866311595
fruits_vox10_nor_i00j02k05,2097152,3862,1.5494562402900052,0.4703417861080485
fruits_vox10_nor_i00j03k03,2097152,7,252.57142857142858,0.5
fruits_vox10_nor_i00j03k04,2097152,3599,1.478188385662684,0.4551422319474836
fruits_vox10_nor_i00j03k05,2097152,776,3.195876288659794,0.45324532453245325
fruits_vox10_nor_i01j00k01,2097152,1607,2.3895457373988798,0.4738729508196721
fruits_vox10_nor_i01j00k02,2097152,3106,1.5144880875724405,0.4546230440967283
fruits_vox10_nor_i01j00k03,2097152,7021,1.3092152115083322,0.452642073778664
fruits_vox10_nor_i01j00k04,2097152,6209,1.5590272185537124,0.46829722185298417
fruits_vox10_nor_i01j00k05,2097152,809,3.431396786155748,0.4560846560846561
fruits_vox10_nor_i01j01k00,2097152,1227,2.3993480032599837,0.487508440243079
