name,number_of_nucleotides,num_voxels,num_occupied_voxels,nucleotide_rate,point_to_point_D1
CITIUSP_vox10_nor_i00j05k00,6000,262144,516,11.627906976744185,96.48387096774194
CITIUSP_vox10_nor_i00j06k00,7600,262144,2047,3.7127503663898387,52.35466536394724
CITIUSP_vox10_nor_i00j07k00,5800,262144,629,9.220985691573928,528.8333333333334
CITIUSP_vox10_nor_i01j03k01,9200,262144,1843,4.991861096039067,14.037383177570094
CITIUSP_vox10_nor_i01j05k00,6400,262144,1227,5.215973920130399,167.88172043010752
CITIUSP_vox10_nor_i01j06k00,11400,262144,5263,2.1660649819494586,17.794435857805254
CITIUSP_vox10_nor_i01j07k00,8400,262144,3393,2.475685234305924,119.5691128794577
CITIUSP_vox10_nor_i01j08k00,8400,262144,3305,2.5416036308623298,44.95854765506808
CITIUSP_vox10_nor_i01j09k00,7400,262144,2564,2.8861154446177846,57.7027027027027
CITIUSP_vox10_nor_i01j10k00,6000,262144,1987,3.019627579265224,109.35483870967742
CITIUSP_vox10_nor_i01j11k00,5600,262144,1466,3.819918144611187,111.13642564802183
CITIUSP_vox10_nor_i02j02k00,6600,262144,727,9.07840440165062,133.33333333333334
CITIUSP_vox10_nor_i02j02k01,10000,262144,2665,3.75234521575985,12.16547842401501
CITIUSP_vox10_nor_i02j05k00,12000,262144,5776,2.0775623268698062,27.80679785330948
CITIUSP_vox10_nor_i02j06k00,11000,262144,4797,2.293099854075464,79.50232558139535
CITIUSP_vox10_nor_i02j07k00,10600,262144,4465,2.374020156774916,181.42954759660697
CITIUSP_vox10_nor_i02j08k00,10000,262144,4071,2.4563989191844757,54.97787610619469
CITIUSP_vox10_nor_i02j09k00,9000,262144,3794,2.372166578808645,69.59066947812336
CITIUSP_vox10_nor_i02j10k00,7000,262144,3054,2.2920759659463,158.35952848722985
CITIUSP_vox10_nor_i02j11k00,5800,262144,2722,2.1307861866274798,345.3103448275862
CITIUSP_vox10_nor_i02j12k00,5600,262144,660,8.484848484848484,nan
CITIUSP_vox10_nor_i03j01k00,7200,262144,1149,6.266318537859008,41.81462140992167
CITIUSP_vox10_nor_i03j02k00,7800,262144,1636,4.767726161369193,72.83557457212714
CITIUSP_vox10_nor_i03j02k01,10200,262144,2897,3.520883672764929,7.396962374870556
CITIUSP_vox10_nor_i03j04k00,6000,262144,1053,5.698005698005698,314.0740740740741
CITIUSP_vox10_nor_i03j05k00,13400,262144,6567,2.0405055580934977,131.34291260042056
CITIUSP_vox10_nor_i03j06k00,12800,262144,6189,2.068185490386169,133.45112781954887
CITIUSP_vox10_nor_i03j07k00,13000,262144,6127,2.1217561612534683,155.36298351558673
CITIUSP_vox10_nor_i03j08k00,11600,262144,5175,2.241545893719807,331.8299319727891
CITIUSP_vox10_nor_i03j09k00,9600,262144,4454,2.1553659631791646,446.0263157894737
CITIUSP_vox10_nor_i03j10k00,7800,262144,4184,1.864244741873805,201.37037037037038
CITIUSP_vox10_nor_i03j11k00,6800,262144,3813,1.7833726724364019,540.7073170731708
CITIUSP_vox10_nor_i03j12k00,6000,262144,1255,4.780876494023905,296.2162162162162
CITIUSP_vox10_nor_i04j01k00,15000,262144,6157,2.4362514211466624,18.162579473206176
CITIUSP_vox10_nor_i04j01k01,10800,262144,3083,3.503081414206941,8.433992864093415
CITIUSP_vox10_nor_i04j02k00,11000,262144,5115,2.150537634408602,147.44796380090497
CITIUSP_vox10_nor_i04j03k01,6000,262144,769,7.802340702210663,79.109375
CITIUSP_vox10_nor_i04j04k00,7600,262144,2521,3.014676715589052,95.0
CITIUSP_vox10_nor_i04j04k01,12600,262144,5878,2.1435862538278325,48.15039128955427
CITIUSP_vox10_nor_i04j05k00,17400,262144,8377,2.077115912617882,24.426651735722285
CITIUSP_vox10_nor_i04j05k01,15600,262144,6930,2.2510822510822512,16.22268326417704
CITIUSP_vox10_nor_i04j06k00,12000,262144,5471,2.1933832937305793,213.11891891891892
CITIUSP_vox10_nor_i04j07k00,12200,262144,4965,2.4572004028197383,231.63205694648994
CITIUSP_vox10_nor_i04j08k00,11800,262144,5456,2.162756598240469,332.484375
CITIUSP_vox10_nor_i04j09k00,10200,262144,4842,2.1065675340768277,411.1928104575163
CITIUSP_vox10_nor_i04j10k00,8600,262144,4646,1.8510546706844597,333.2137322427895
CITIUSP_vox10_nor_i04j11k00,8000,262144,4564,1.7528483786152498,297.659509202454
CITIUSP_vox10_nor_i04j12k00,10000,262144,2587,3.865481252415926,35.064935064935064
CITIUSP_vox10_nor_i04j12k01,6400,262144,537,11.91806331471136,139.28571428571428
CITIUSP_vox10_nor_i05j00k00,7000,262144,1071,6.5359477124183005,85.45454545454545
CITIUSP_vox10_nor_i05j01k00,16600,262144,7349,2.2588107225472855,22.745543611375698
CITIUSP_vox10_nor_i05j01k01,11000,262144,3557,3.0924936744447566,50.430830039525695
CITIUSP_vox10_nor_i05j02k00,10800,262144,4920,2.1951219512195124,359.2283464566929
CITIUSP_vox10_nor_i05j03k00,7600,262144,2144,3.544776119402985,192.4191616766467
CITIUSP_vox10_nor_i05j03k01,6800,262144,1099,6.1874431301182895,102.9
CITIUSP_vox10_nor_i05j04k00,14400,262144,7625,1.8885245901639345,85.97416974169742
CITIUSP_vox10_nor_i05j04k01,22600,262144,12571,1.7977885609736695,28.248985760878213
CITIUSP_vox10_nor_i05j05k00,23600,262144,12509,1.8866416180350147,18.085698297225996
CITIUSP_vox10_nor_i05j05k01,9800,262144,2862,3.424178895877009,29.8445143256464
CITIUSP_vox10_nor_i05j06k00,14000,262144,6480,2.1604938271604937,39.92363636363636
CITIUSP_vox10_nor_i05j07k00,11800,262144,4737,2.491028076841883,333.17717078060394
CITIUSP_vox10_nor_i05j08k00,11000,262144,4863,2.261978202755501,280.39325842696627
CITIUSP_vox10_nor_i05j09k00,10000,262144,4660,2.1459227467811157,378.1409871244635
CITIUSP_vox10_nor_i05j10k00,9600,262144,5516,1.7403915881073242,520.4256707759246
CITIUSP_vox10_nor_i05j11k00,10400,262144,5271,1.9730601403908177,98.93516209476309
CITIUSP_vox10_nor_i05j12k00,11600,262144,4440,2.6126126126126126,26.120945945945945
CITIUSP_vox10_nor_i05j12k01,7400,262144,1155,6.406926406926407,60.643290043290044
CITIUSP_vox10_nor_i06j00k00,6200,262144,548,11.313868613138686,84.70454545454545
CITIUSP_vox10_nor_i06j00k01,7600,262144,1381,5.503258508327299,27.023171614771904
CITIUSP_vox10_nor_i06j01k00,12800,262144,5150,2.4854368932038833,25.695145631067962
CITIUSP_vox10_nor_i06j01k01,9000,262144,2199,4.092769440654843,49.801728058208276
CITIUSP_vox10_nor_i06j02k00,7000,262144,1325,5.283018867924528,118.52
CITIUSP_vox10_nor_i06j02k01,6200,262144,587,10.562180579216355,317.7586206896552
CITIUSP_vox10_nor_i06j03k00,10600,262144,4790,2.2129436325678498,48.11356993736952
CITIUSP_vox10_nor_i06j03k01,15000,262144,8565,1.7513134851138354,29.782837127845884
CITIUSP_vox10_nor_i06j04k00,14800,262144,6669,2.219223271854851,48.139044943820224
CITIUSP_vox10_nor_i06j04k01,16000,262144,7451,2.1473627700979736,21.814968814968815
CITIUSP_vox10_nor_i06j05k00,12200,262144,5524,2.2085445329471396,196.48657909765848
CITIUSP_vox10_nor_i06j06k00,19400,262144,9987,1.942525282867728,13.870591502360455
CITIUSP_vox10_nor_i06j06k01,13800,262144,7560,1.8253968253968254,2.131084656084656
CITIUSP_vox10_nor_i06j07k00,19600,262144,9933,1.9732205778717407,27.01439645625692
CITIUSP_vox10_nor_i06j08k00,15200,262144,7110,2.1378340365682136,36.55018587360595
CITIUSP_vox10_nor_i06j09k00,10200,262144,4735,2.1541710665258713,164.58403361344537
CITIUSP_vox10_nor_i06j10k00,11200,262144,6241,1.7945842012497997,225.46728971962617
CITIUSP_vox10_nor_i06j11k00,14800,262144,7122,2.078067958438641,22.84807638303847
CITIUSP_vox10_nor_i06j11k01,7800,262144,1398,5.579399141630901,84.9241773962804
CITIUSP_vox10_nor_i06j12k01,7200,262144,956,7.531380753138075,133.19565217391303
CITIUSP_vox10_nor_i07j01k00,8800,262144,2307,3.8144776766363244,56.272413793103446
CITIUSP_vox10_nor_i07j01k01,14200,262144,6509,2.1815947150099864,23.24392523364486
CITIUSP_vox10_nor_i07j02k00,11800,262144,5211,2.264440606409518,20.93238822246456
CITIUSP_vox10_nor_i07j02k01,6800,262144,720,9.444444444444445,236.75
CITIUSP_vox10_nor_i07j03k00,17600,262144,9138,1.9260231998249069,47.8620056732855
CITIUSP_vox10_nor_i07j03k01,15000,262144,6356,2.3599748269351792,21.59203901825047
CITIUSP_vox10_nor_i07j04k00,12800,262144,5563,2.300916771526155,114.60070671378092
CITIUSP_vox10_nor_i07j04k01,7000,262144,1172,5.972696245733788,19.264705882352942
CITIUSP_vox10_nor_i07j05k00,16000,262144,9068,1.76444640494045,28.094177326863697
CITIUSP_vox10_nor_i07j05k01,14600,262144,7518,1.9420058526203778,6.76465337697114
CITIUSP_vox10_nor_i07j06k00,6600,262144,804,8.208955223880597,134.86666666666667
CITIUSP_vox10_nor_i07j06k01,14400,262144,5516,2.610587382160986,27.835750543872372
CITIUSP_vox10_nor_i07j06k02,11400,262144,2955,3.8578680203045685,59.4264705882353
CITIUSP_vox10_nor_i07j07k00,18400,262144,9435,1.9501854795972442,6.7863275039745625
CITIUSP_vox10_nor_i07j07k01,22400,262144,13200,1.696969696969697,3.373873873873874
CITIUSP_vox10_nor_i07j07k02,7000,262144,752,9.308510638297872,45.21052631578947
CITIUSP_vox10_nor_i07j08k00,16600,262144,8686,1.9111213446926087,123.72056239015818
CITIUSP_vox10_nor_i07j09k00,11200,262144,5082,2.203856749311295,317.4112554112554
CITIUSP_vox10_nor_i07j10k00,14800,262144,8066,1.834862385321101,50.26340326340326
CITIUSP_vox10_nor_i07j11k00,11800,262144,4898,2.4091465904450797,9.737852184565128
CITIUSP_vox10_nor_i07j11k01,10400,262144,3387,3.07056392087393,110.16091954022988
CITIUSP_vox10_nor_i07j12k01,8200,262144,1551,5.286911669890393,54.190199871050936
CITIUSP_vox10_nor_i07j13k01,7600,262144,1173,6.479113384484228,59.38028169014085
CITIUSP_vox10_nor_i08j01k00,11200,262144,4350,2.574712643678161,34.91379310344828
CITIUSP_vox10_nor_i08j01k01,15200,262144,6577,2.3110840808879427,35.60659898477157
CITIUSP_vox10_nor_i08j02k00,15800,262144,8625,1.8318840579710145,8.21742671009772
CITIUSP_vox10_nor_i08j02k01,8600,262144,2161,3.979639055992596,68.34058306339658
CITIUSP_vox10_nor_i08j03k00,14800,262144,7170,2.0641562064156207,68.78064516129032
CITIUSP_vox10_nor_i08j03k01,7200,262144,1007,7.149950347567031,29.643495531281033
CITIUSP_vox10_nor_i08j04k00,11600,262144,5221,2.2217965906914383,193.39306358381504
CITIUSP_vox10_nor_i08j05k00,13600,262144,6751,2.0145163679454896,7.062797012898846
CITIUSP_vox10_nor_i08j05k01,19000,262144,10586,1.7948233515964482,12.382101854577568
CITIUSP_vox10_nor_i08j05k02,12400,262144,4135,2.9987908101571947,12.619830713422008
CITIUSP_vox10_nor_i08j06k00,6200,262144,549,11.293260473588342,4.823315118397086
CITIUSP_vox10_nor_i08j06k01,12000,262144,3123,3.8424591738712777,104.50806451612904
CITIUSP_vox10_nor_i08j06k02,13200,262144,3829,3.4473752938103943,50.6207729468599
CITIUSP_vox10_nor_i08j07k00,16200,262144,8681,1.8661444534039857,10.921472037090698
CITIUSP_vox10_nor_i08j07k01,17600,262144,7908,2.225594334850784,6.081562974203338
CITIUSP_vox10_nor_i08j08k00,13600,262144,6138,2.215705441511893,295.3488203266788
