name,number_of_nucleotides,num_voxels,num_occupied_voxels,nucleotide_rate,point_to_point_D1
CITIUSP_vox10_nor_i00j05k00,5800,262144,516,11.24031007751938,nan
CITIUSP_vox10_nor_i00j06k00,6400,262144,2047,3.126526624328285,134.1153846153846
CITIUSP_vox10_nor_i00j07k00,5600,262144,629,8.90302066772655,552.341812400636
CITIUSP_vox10_nor_i01j03k01,8200,262144,1843,4.449267498643516,8.838852097130243
CITIUSP_vox10_nor_i01j05k00,5800,262144,1227,4.726976365118174,210.04545454545453
CITIUSP_vox10_nor_i01j06k00,8600,262144,5263,1.634049021470644,33.14723517654897
CITIUSP_vox10_nor_i01j07k00,6400,262144,3393,1.8862363689949897,227.97765793528507
CITIUSP_vox10_nor_i01j08k00,6600,262144,3305,1.9969742813918305,101.64814814814815
CITIUSP_vox10_nor_i01j09k00,6000,262144,2564,2.3400936037441498,142.17241379310346
CITIUSP_vox10_nor_i01j10k00,5600,262144,1987,2.818319073980876,340.81481481481484
CITIUSP_vox10_nor_i01j11k00,5400,262144,1466,3.6834924965893587,407.64864864864865
CITIUSP_vox10_nor_i02j02k00,6200,262144,727,8.528198074277855,82.12727272727273
CITIUSP_vox10_nor_i02j02k01,8800,262144,2665,3.3020637898686678,5.622514071294559
CITIUSP_vox10_nor_i02j05k00,9000,262144,5776,1.5581717451523547,53.12097812097812
CITIUSP_vox10_nor_i02j06k00,8400,262144,4797,1.7510944340212633,62.26010101010101
CITIUSP_vox10_nor_i02j07k00,8000,262144,4465,1.7917133258678613,21.42105263157895
CITIUSP_vox10_nor_i02j08k00,8000,262144,4071,1.9651191353475805,22.14050601817735
CITIUSP_vox10_nor_i02j09k00,7000,262144,3794,1.845018450184502,69.57696362677912
CITIUSP_vox10_nor_i02j10k00,5800,262144,3054,1.8991486574983627,212.98076923076923
CITIUSP_vox10_nor_i02j11k00,5600,262144,2722,2.0573108008817047,439.7395833333333
CITIUSP_vox10_nor_i02j12k00,5400,262144,660,8.181818181818182,nan
CITIUSP_vox10_nor_i03j01k00,6600,262144,1149,5.7441253263707575,57.95300261096606
CITIUSP_vox10_nor_i03j02k00,6800,262144,1636,4.156479217603912,175.3484107579462
CITIUSP_vox10_nor_i03j02k01,9000,262144,2897,3.1066620642043494,1.6309975837072834
CITIUSP_vox10_nor_i03j04k00,5600,262144,1053,5.318138651471985,406.0683760683761
CITIUSP_vox10_nor_i03j05k00,10000,262144,6567,1.5227653418608194,51.061011904761905
CITIUSP_vox10_nor_i03j06k00,9000,262144,6189,1.454192922927775,137.7540916530278
CITIUSP_vox10_nor_i03j07k00,9000,262144,6127,1.4689081116370164,121.40022805017104
CITIUSP_vox10_nor_i03j08k00,9200,262144,5175,1.7777777777777777,59.0188679245283
CITIUSP_vox10_nor_i03j09k00,7200,262144,4454,1.6165244723843737,250.86521739130436
CITIUSP_vox10_nor_i03j10k00,6200,262144,4184,1.4818355640535372,161.46725621414913
CITIUSP_vox10_nor_i03j11k00,5800,262144,3813,1.5211119853134014,249.65289256198346
CITIUSP_vox10_nor_i03j12k00,5600,262144,1255,4.46215139442231,433.25
CITIUSP_vox10_nor_i04j01k00,11800,262144,6157,1.9165177846353745,40.335390612311194
CITIUSP_vox10_nor_i04j01k01,9600,262144,3083,3.1138501459617256,4.983782030489783
CITIUSP_vox10_nor_i04j02k00,8200,262144,5115,1.6031280547409579,307.0030832476876
CITIUSP_vox10_nor_i04j03k01,5600,262144,769,7.282184655396619,nan
CITIUSP_vox10_nor_i04j04k00,6400,262144,2521,2.5386751289170966,328.3738317757009
CITIUSP_vox10_nor_i04j04k01,9400,262144,5878,1.5991833957128274,177.81900452488688
CITIUSP_vox10_nor_i04j05k00,12200,262144,8377,1.4563686283872508,39.49696797422778
CITIUSP_vox10_nor_i04j05k01,12000,262144,6930,1.7316017316017316,15.846534653465346
CITIUSP_vox10_nor_i04j06k00,8400,262144,5471,1.5353683056114056,565.9241454944251
CITIUSP_vox10_nor_i04j07k00,9000,262144,4965,1.8126888217522659,24.11238670694864
CITIUSP_vox10_nor_i04j08k00,9000,262144,5456,1.6495601173020529,76.8082191780822
CITIUSP_vox10_nor_i04j09k00,7400,262144,4842,1.5282940933498554,219.7846153846154
CITIUSP_vox10_nor_i04j10k00,6200,262144,4646,1.334481274214378,206.10526315789474
CITIUSP_vox10_nor_i04j11k00,6200,262144,4564,1.3584574934268185,276.8897338403042
CITIUSP_vox10_nor_i04j12k00,8400,262144,2587,3.247004252029378,27.260545905707197
CITIUSP_vox10_nor_i04j12k01,6000,262144,537,11.1731843575419,307.4
CITIUSP_vox10_nor_i05j00k00,6600,262144,1071,6.162464985994398,18.15686274509804
CITIUSP_vox10_nor_i05j01k00,12200,262144,7349,1.6600898081371616,21.982048574445617
CITIUSP_vox10_nor_i05j01k01,8800,262144,3557,2.4739949395558054,23.90374331550802
CITIUSP_vox10_nor_i05j02k00,8400,262144,4920,1.7073170731707317,273.2608695652174
CITIUSP_vox10_nor_i05j03k00,6600,262144,2144,3.078358208955224,295.5892857142857
CITIUSP_vox10_nor_i05j03k01,6200,262144,1099,5.641492265696088,nan
CITIUSP_vox10_nor_i05j04k00,10800,262144,7625,1.4163934426229507,80.16973415132924
CITIUSP_vox10_nor_i05j04k01,16200,262144,12571,1.288680295919179,22.85729275970619
CITIUSP_vox10_nor_i05j05k00,17800,262144,12509,1.4229754576704772,20.582940282996244
CITIUSP_vox10_nor_i05j05k01,8200,262144,2862,2.86512928022362,19.23846153846154
CITIUSP_vox10_nor_i05j06k00,10000,262144,6480,1.5432098765432098,217.66666666666666
CITIUSP_vox10_nor_i05j07k00,9000,262144,4737,1.8999366687777075,21.097364568081993
CITIUSP_vox10_nor_i05j08k00,9000,262144,4863,1.8507094386181369,87.12790458564672
CITIUSP_vox10_nor_i05j09k00,7200,262144,4660,1.5450643776824033,185.9367088607595
CITIUSP_vox10_nor_i05j10k00,6800,262144,5516,1.2327773749093547,238.6063031515758
CITIUSP_vox10_nor_i05j11k00,7600,262144,5271,1.4418516410548283,165.04927536231884
CITIUSP_vox10_nor_i05j12k00,9600,262144,4440,2.1621621621621623,17.91711711711712
CITIUSP_vox10_nor_i05j12k01,6600,262144,1155,5.714285714285714,115.9038961038961
CITIUSP_vox10_nor_i06j00k00,5800,262144,548,10.583941605839415,250.69525547445255
CITIUSP_vox10_nor_i06j00k01,7000,262144,1381,5.068790731354091,19.54601226993865
CITIUSP_vox10_nor_i06j01k00,9600,262144,5150,1.8640776699029127,61.06504854368932
CITIUSP_vox10_nor_i06j01k01,7600,262144,2199,3.4561164165529785,84.046875
CITIUSP_vox10_nor_i06j02k00,6000,262144,1325,4.528301886792453,492.90943396226413
CITIUSP_vox10_nor_i06j02k01,5800,262144,587,9.880749574105621,507.5008517887564
